source_model_name,evaluation_window_index,training_window_indices,architecture,objective_kind,seed,tenant_id,anchor_timestamp,regret_uah,raw_regret_uah,realized_value_uah,forecast_mae_uah_mwh,safety_violation_count,v2_plus_regret_uah,dfl_minus_v2_plus_regret_uah
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_001_kyiv_mall,2026-04-12T23:00:00.000000,630.061204261438,541.7412090254597,2254.0423429785187,1412.64738894827,0,14.014182320959662,616.0470219404783
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_002_lviv_office,2026-04-12T23:00:00.000000,146.37865086201032,157.42717856342847,1227.3402982870068,1400.817532324874,0,17.51100947479722,128.8676413872131
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_003_dnipro_factory,2026-04-12T23:00:00.000000,634.5273891707984,395.9032255912962,4470.021968055288,1145.5611198478994,0,25.02530600263981,609.5020831681586
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_004_kharkiv_hospital,2026-04-12T23:00:00.000000,449.72615124446065,284.5713318123612,3729.679221872397,1180.5697126001496,0,27.04134843407337,422.6848028103873
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_005_odesa_hotel,2026-04-12T23:00:00.000000,194.28441651112712,128.2146996247052,1573.262233024544,1177.8113461709845,0,22.460892500273758,171.82352401085336
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_001_kyiv_mall,2026-04-13T23:00:00.000000,475.0265012214559,427.45802504622316,3122.727268370337,1356.3913106637835,0,126.48479710248375,348.5417041189721
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_002_lviv_office,2026-04-13T23:00:00.000000,265.23771368400094,218.11364318357755,1455.5788607855247,1256.0401606448618,0,120.07644531465962,145.16126836934131
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_003_dnipro_factory,2026-04-13T23:00:00.000000,1213.9410326685556,1217.317137428904,5154.923339700476,1102.0680961305031,0,355.35594672989555,858.5850859386601
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_004_kharkiv_hospital,2026-04-13T23:00:00.000000,782.1312608661938,698.0416014325529,4430.206171598453,1226.6882643006757,0,315.21210370584686,466.9191571603469
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_005_odesa_hotel,2026-04-13T23:00:00.000000,225.6007889700195,224.71362348720322,1989.9853983753878,1157.1978930646826,0,51.995816443065905,173.6049725269536
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",mlp,decision_focused,7,client_001_kyiv_mall,2026-04-14T23:00:00.000000,1138.2636460584845,838.1830507577897,2476.026134304381,2926.5719563028906,0,215.04306242616576,923.2205836323187
