source_model_name,anchor_timestamp,selection_role,tenant_count,mean_regret_uah
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-23T23:00:00,schedule_value_learner_v2_reference,5,103.1700911539755
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-23T23:00:00,schedule_value_learner_v2_plus,5,41.182584055329926
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-24T23:00:00,raw_reference,5,286.9144084031521
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-24T23:00:00,strict_reference,5,14.93794044125816
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-24T23:00:00,schedule_value_learner_v2_reference,5,14.825729222358996
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-24T23:00:00,schedule_value_learner_v2_plus,5,2.502601193433475
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-25T23:00:00,raw_reference,5,962.8205663331988
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-25T23:00:00,strict_reference,5,1132.6840559538937
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-25T23:00:00,schedule_value_learner_v2_reference,5,1132.6840559538937
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-25T23:00:00,schedule_value_learner_v2_plus,5,1132.6840559538937
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-26T23:00:00,raw_reference,5,367.1807194530618
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-26T23:00:00,strict_reference,5,30.94993490025836
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-26T23:00:00,schedule_value_learner_v2_reference,5,40.96163304074007
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-26T23:00:00,schedule_value_learner_v2_plus,5,28.141651634333357
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-27T23:00:00,raw_reference,5,392.16058926119854
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-27T23:00:00,strict_reference,5,243.70004347511136
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-27T23:00:00,schedule_value_learner_v2_reference,5,115.33031114536439
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-27T23:00:00,schedule_value_learner_v2_plus,5,115.32417906295373
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-28T23:00:00,raw_reference,5,170.7831021070179
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-28T23:00:00,strict_reference,5,0.12330229274771227
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-28T23:00:00,schedule_value_learner_v2_reference,5,5.291434675096116
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-28T23:00:00,schedule_value_learner_v2_plus,5,5.291434675096116
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-29T23:00:00,raw_reference,5,4140.772737089727
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-29T23:00:00,strict_reference,5,570.0183218913066
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-29T23:00:00,schedule_value_learner_v2_reference,5,570.0183218913066
nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-29T23:00:00,schedule_value_learner_v2_plus,5,570.0183218913066
nbeatsx_official_global_panel_v1,2026-04-12T23:00:00,raw_reference,5,581.0942036924582
nbeatsx_official_global_panel_v1,2026-04-12T23:00:00,strict_reference,5,148.38283425116202
nbeatsx_official_global_panel_v1,2026-04-12T23:00:00,schedule_value_learner_v2_reference,5,22.076223764070527
nbeatsx_official_global_panel_v1,2026-04-12T23:00:00,schedule_value_learner_v2_plus,5,22.076223764070527
nbeatsx_official_global_panel_v1,2026-04-13T23:00:00,raw_reference,5,279.7508101723694
nbeatsx_official_global_panel_v1,2026-04-13T23:00:00,strict_reference,5,382.86178823537534
nbeatsx_official_global_panel_v1,2026-04-13T23:00:00,schedule_value_learner_v2_reference,5,119.16835044378213
nbeatsx_official_global_panel_v1,2026-04-13T23:00:00,schedule_value_learner_v2_plus,5,94.42770534072497
