tenant_id,source_model_name,anchor_timestamp,selected_candidate_id,selected_candidate_index,selected_schedule_family,selected_regret_uah,selected_value_uah,v2_plus_candidate_id,v2_plus_regret_uah,v2_plus_value_uah,selected_minus_v2_plus_regret_uah,selected_minus_v2_plus_value_uah,predicted_regret_delta_vs_v2_plus_uah,predicted_improvement_vs_v2_plus_uah,abstained_to_v2_plus,abstention_reason,family_tail_risk_probability,tail_risk_guard_passed,research_shadow_not_promotable,dt_lava_ready,promotion_gate_passed,market_execution_enabled,not_market_execution
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-22T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-22T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,75.06213842680609,3982.115909245789,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-22T23:00:00|schedule_value_learner_v2_plus|1,75.06213842680609,3982.115909245789,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-23T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-23T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,25.21816584537555,3911.3007730406066,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-23T23:00:00|schedule_value_learner_v2_plus|1,25.21816584537555,3911.3007730406066,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-24T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-24T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,1.3354336107163363,3791.3369392979453,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-24T23:00:00|schedule_value_learner_v2_plus|1,1.3354336107163363,3791.3369392979453,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-25T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-25T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,1083.0008262783144,2983.0528914616475,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-25T23:00:00|schedule_value_learner_v2_plus|1,1083.0008262783144,2983.0528914616475,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-26T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-26T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,43.44833285743789,3919.410810943712,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-26T23:00:00|schedule_value_learner_v2_plus|1,43.44833285743789,3919.410810943712,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-27T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-27T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,9.22316379358972,3953.022338163372,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-27T23:00:00|schedule_value_learner_v2_plus|1,9.22316379358972,3953.022338163372,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-28T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-28T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,0.12272654000753391,3834.2623442780896,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-28T23:00:00|schedule_value_learner_v2_plus|1,0.12272654000753391,3834.2623442780896,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_001_kyiv_mall,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-29T23:00:00.000000,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-29T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,545.2656409330511,3888.0128155738666,client_001_kyiv_mall|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-29T23:00:00|schedule_value_learner_v2_plus|1,545.2656409330511,3888.0128155738666,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_002_lviv_office,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-12T23:00:00.000000,client_002_lviv_office|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-12T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,17.51100947479722,1356.20793967422,client_002_lviv_office|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-12T23:00:00|schedule_value_learner_v2_plus|1,17.51100947479722,1356.20793967422,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
client_002_lviv_office,nbeatsx_official_global_panel_horizon_calibrated_v1,2026-04-13T23:00:00.000000,client_002_lviv_office|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-13T23:00:00|schedule_value_learner_v2_plus|1,1,schedule_value_learner_v2_plus,120.07644531465962,1600.740129154866,client_002_lviv_office|nbeatsx_official_global_panel_horizon_calibrated_v1|2026-04-13T23:00:00|schedule_value_learner_v2_plus|1,120.07644531465962,1600.740129154866,0.0,0.0,0.0,-0.0,true,predicted_improvement_below_threshold,0.06666666666666667,true,true,false,false,false,true
