source_model_name,window_index,validation_start_anchor_timestamp,validation_end_anchor_timestamp,tenant_count,validation_anchor_count_per_tenant,validation_tenant_anchor_count,minimum_prior_anchor_count_before_window,fallback_to_v2_by_tenant,selected_family_counts,strict_mean_regret_uah,raw_mean_regret_uah,v2_mean_regret_uah,selected_mean_regret_uah,strict_median_regret_uah,v2_median_regret_uah,selected_median_regret_uah,mean_regret_improvement_ratio_vs_raw,mean_regret_improvement_ratio_vs_strict,mean_regret_improvement_ratio_vs_v2,development_passed,source_specific_strict_passed,v2_non_degradation_passed,v2_plus_window_passed,passing_window_count_for_source,robust_research_challenger,production_promote,claim_scope,academic_scope,not_full_dfl,not_market_execution,gate_label
nbeatsx_official_global_panel_v1,1,2026-04-12T23:00:00,2026-04-29T23:00:00,5,18,90,347,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 5, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 9, ""soc_terminal_target_v2_plus"": null, ""strict_control"": 16, ""strict_neighborhood_shift_v2_plus"": 7, ""strict_prior_residual_v2"": 3, ""strict_raw_blend_v2"": 26, ""temporal_block_reconciled_v2_plus"": 24}",310.58280814033515,771.2554242876997,225.4365753345227,193.35903850044008,198.38615278850557,109.69182779096298,68.89100618414295,0.7492931233786542,0.3774316110469584,0.14229073869882533,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_v1,2,2026-03-17T23:00:00,2026-04-11T23:00:00,5,18,90,329,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 3, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 5, ""soc_terminal_target_v2_plus"": 3, ""strict_control"": 12, ""strict_neighborhood_shift_v2_plus"": 11, ""strict_prior_residual_v2"": 6, ""strict_raw_blend_v2"": 27, ""temporal_block_reconciled_v2_plus"": 23}",847.2987703842311,540.2812393996722,691.8096034020168,279.0215896259489,482.3182264021689,275.49066757643834,175.12130546519467,0.48356232036488855,0.6706927952941336,0.5966786406926952,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_v1,3,2026-02-27T23:00:00,2026-03-16T23:00:00,5,18,90,311,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 2, ""soc_terminal_target_v2_plus"": null, ""strict_control"": 24, ""strict_neighborhood_shift_v2_plus"": 9, ""strict_prior_residual_v2"": 8, ""strict_raw_blend_v2"": 37, ""temporal_block_reconciled_v2_plus"": 9}",664.6770042829479,891.9633865198972,545.8265241491409,411.49660669609,511.3946506211695,229.49223754269724,184.1309124855277,0.5386619978858171,0.38090741210460316,0.24610368223209836,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_v1,4,2026-02-09T23:00:00,2026-02-26T23:00:00,5,18,90,293,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": 6, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": 2, ""robust_spread_penalty_v2_plus"": 4, ""soc_terminal_target_v2_plus"": 1, ""strict_control"": 28, ""strict_neighborhood_shift_v2_plus"": 5, ""strict_prior_residual_v2"": 12, ""strict_raw_blend_v2"": 25, ""temporal_block_reconciled_v2_plus"": 6}",1020.2253862557682,1242.2594685239092,843.4683900809032,820.1166360029614,738.0701109504364,411.8078770851205,385.366442978127,0.33981856706840063,0.19614170843876647,0.027685393255462667,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_horizon_calibrated_v1,1,2026-04-12T23:00:00,2026-04-29T23:00:00,5,18,90,347,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 4, ""soc_terminal_target_v2_plus"": null, ""strict_control"": 13, ""strict_neighborhood_shift_v2_plus"": 7, ""strict_prior_residual_v2"": 9, ""strict_raw_blend_v2"": 26, ""temporal_block_reconciled_v2_plus"": 30}",310.58280814033515,622.2489421796947,206.3667938276445,174.7683983151615,198.38615278850557,96.02061414616037,67.30027299009589,0.7191342781508636,0.4372888848496941,0.15311763548002622,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_horizon_calibrated_v1,2,2026-03-17T23:00:00,2026-04-11T23:00:00,5,18,90,329,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 4, ""soc_terminal_target_v2_plus"": null, ""strict_control"": 7, ""strict_neighborhood_shift_v2_plus"": 3, ""strict_prior_residual_v2"": 3, ""strict_raw_blend_v2"": 45, ""temporal_block_reconciled_v2_plus"": 27}",847.2987703842311,567.0220887499553,312.7067565065196,226.12489112626542,482.3182264021689,208.34550654825944,157.35246610435797,0.6012062041096573,0.733122602050133,0.276878780450812,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_horizon_calibrated_v1,3,2026-02-27T23:00:00,2026-03-16T23:00:00,5,18,90,311,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": null, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": null, ""robust_spread_penalty_v2_plus"": 4, ""soc_terminal_target_v2_plus"": 1, ""strict_control"": 20, ""strict_neighborhood_shift_v2_plus"": 8, ""strict_prior_residual_v2"": 19, ""strict_raw_blend_v2"": 24, ""temporal_block_reconciled_v2_plus"": 13}",664.6770042829479,878.2166211375693,497.06515492171445,393.26770932452314,511.3946506211695,216.47291764772717,180.7953376673737,0.5521973737924516,0.40833260848435776,0.20882060343485342,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
nbeatsx_official_global_panel_horizon_calibrated_v1,4,2026-02-09T23:00:00,2026-02-26T23:00:00,5,18,90,293,"{""client_001_kyiv_mall"": false, ""client_002_lviv_office"": false, ""client_003_dnipro_factory"": false, ""client_004_kharkiv_hospital"": false, ""client_005_odesa_hotel"": false}","{""forecast_perturbation"": 2, ""rank_extrema_perturbation_v2_plus"": 1, ""raw_source"": 1, ""robust_spread_penalty_v2_plus"": 9, ""soc_terminal_target_v2_plus"": null, ""strict_control"": 46, ""strict_neighborhood_shift_v2_plus"": 2, ""strict_prior_residual_v2"": 7, ""strict_raw_blend_v2"": 17, ""temporal_block_reconciled_v2_plus"": 5}",1020.2253862557682,1192.7780278346256,922.6284446538456,882.0129005136632,738.0701109504364,525.0517078365697,525.0517078365697,0.2605389435996962,0.13547250206088812,0.044021560765363794,True,True,True,True,4,True,False,dfl_schedule_value_learner_v2_plus_robustness_not_full_dfl,"Rolling-window prior-only robustness gate for Schedule/Value Learner V2+. It compares V2+ against strict_similar_day and frozen V2. It is not full DFL, not Decision Transformer control, and not market execution.",True,True,robust_research_challenger
