source_model_name,evaluation_window_index,training_window_indices,architecture,objective_kind,seed,fit_anchor_count,inner_validation_anchor_count,evaluation_profile_row_count,evaluation_date_count,checkpoint_epoch,inner_validation_loss,training_solver_status,mean_regret_uah,median_regret_uah,raw_mean_regret_uah,mean_dfl_minus_raw_regret_uah,v2_plus_mean_regret_uah,mean_dfl_minus_v2_plus_regret_uah,mean_date_cluster_delta_uah,forecast_mae_uah_mwh,tail_loss_count,safety_violation_count,content_overlap_count,promotable_v13_permitted_training_rows,promotion_gate_passed,market_execution_enabled,claim_scope,profile_aware_decision_loss,training_battery_contract_kind,training_terminal_soc_equality,training_quadratic_regularization
nbeatsx_official_global_panel_horizon_calibrated_v1,1,"4,3,2",transformer,forecast_loss,2026,36,18,90,18,1,6.291275514796796,not_used_for_forecast_loss,619.1995088770124,262.5499111592162,622.2489421796947,-3.0494333026823597,174.7683983151615,444.43111056185086,444.43111056185086,2056.2947467791832,50,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,decision_focused,7,18,18,90,18,6,-2.058709453213215,cvxpylayer_scaled_strictly_convex,769.0816419132402,573.5937440446414,567.0220887499553,202.05955316328493,226.12489112626542,542.9567507869748,542.9567507869748,2174.8377655256613,70,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,decision_focused,42,18,18,90,18,4,-2.2326529563150235,cvxpylayer_scaled_strictly_convex,662.4363954885199,606.2014795518472,567.0220887499553,95.41430673856462,226.12489112626542,436.3115043622544,436.3115043622544,2167.800806230427,70,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,decision_focused,2026,18,18,90,18,6,-2.180937286304698,cvxpylayer_scaled_strictly_convex,430.9099955392207,332.7425882436694,567.0220887499553,-136.1120932107346,226.12489112626542,204.78510441295526,204.78510441295526,2278.3673522555623,40,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,forecast_loss,7,18,18,90,18,6,13.884103061258337,not_used_for_forecast_loss,788.9354856022339,606.731739667018,567.0220887499553,221.91339685227865,226.12489112626542,562.8105944759685,562.8105944759685,2185.1829368481367,71,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,forecast_loss,42,18,18,90,18,4,14.415834116381307,not_used_for_forecast_loss,559.4418626017688,457.3408560589214,567.0220887499553,-7.580226148186512,226.12489112626542,333.3169714755034,333.3169714755034,2251.476847227559,60,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",mlp,forecast_loss,2026,18,18,90,18,6,14.158819282558978,not_used_for_forecast_loss,422.23669039013396,305.25942104516025,567.0220887499553,-144.78539835982133,226.12489112626542,196.11179926386856,196.11179926386856,2291.0978431824824,40,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,decision_focused,7,18,18,90,18,6,-2.1886026060256127,cvxpylayer_scaled_strictly_convex,568.4790295845494,464.38172182734934,567.0220887499553,1.4569408345940928,226.12489112626542,342.354138458284,342.354138458284,2634.069616576058,54,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,decision_focused,42,18,18,90,18,1,-2.133882320169998,cvxpylayer_scaled_strictly_convex,565.5580088950112,447.66536143246583,567.0220887499553,-1.4640798549440888,226.12489112626542,339.43311776874583,339.43311776874583,2124.003951138132,53,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,decision_focused,2026,18,18,90,18,5,-2.2188548027806956,cvxpylayer_scaled_strictly_convex,567.389420820335,473.65966581651855,567.0220887499553,0.36733207037968896,226.12489112626542,341.26452969406955,341.26452969406955,2437.8810947394895,60,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,forecast_loss,7,18,18,90,18,2,11.365881274729865,not_used_for_forecast_loss,533.609232257942,437.22649164821746,567.0220887499553,-33.41285649201325,226.12489112626542,307.4843411316766,307.4843411316766,2044.785874342438,53,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,forecast_loss,42,18,18,90,18,2,11.46743388370477,not_used_for_forecast_loss,523.7385467836084,435.6448332592279,567.0220887499553,-43.28354196634689,226.12489112626542,297.613655657343,297.61365565734303,1955.3140831549595,49,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,2,"4,3",transformer,forecast_loss,2026,18,18,90,18,1,11.66138740384113,not_used_for_forecast_loss,540.0028299338596,468.441695474487,567.0220887499553,-27.019258816095657,226.12489112626542,313.8779388075942,313.8779388075942,1960.5922015618096,51,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,decision_focused,7,12,6,90,18,2,-1.2407781983063062,cvxpylayer_scaled_strictly_convex,999.8623057200009,831.536106586309,878.2166211375693,121.64568458243161,393.26770932452314,606.5945963954778,606.5945963954778,2853.252950294611,73,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,decision_focused,42,12,6,90,18,2,-1.3335727008380795,cvxpylayer_scaled_strictly_convex,824.0106468236606,574.9939078090675,878.2166211375693,-54.205974313908655,393.26770932452314,430.7429374991375,430.7429374991375,2900.3824670336026,61,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
